meter_id,id,reading_date,units,voltage,temperature,power_factor,load_kw,frequency_hz,phase,status
MTR0000001,49,2024-11-28 02:55:10.410294,2.397,234.57,36.85,0.884,2.923,50.455,Single,CHECK
MTR0000001,141,2024-11-22 01:40:09.700086,4.37,234.31,28.76,0.983,7.018,50.448,Single,OK
MTR0000001,1995,2025-10-20 14:50:12.642471,35.614,210.38,25.84,0.88,3.635,49.762,Three,OK
MTR0000002,1377,2024-11-30 23:23:29.827503,40.015,231.72,36.09,0.895,0.922,49.935,Three,OK
MTR0000002,1437,2025-11-03 05:05:44.753455,23.142,218.6,28.66,0.839,2.136,50.37,Single,OK
MTR0000002,1684,2025-07-19 00:46:47.346444,11.807,229.81,38.5,0.807,6.834,50.126,Single,OK
MTR0000002,1714,2025-10-21 14:17:17.036969,38.478,248.39,35.69,0.943,2.461,49.928,Three,OK
MTR0000002,1764,2025-07-01 16:29:55.612924,16.832,210.78,29.62,0.791,3.379,50.078,Three,OK
MTR0000002,2351,2025-07-10 17:48:21.730257,2.641,220.66,38.54,0.848,7.437,49.729,Single,OK
MTR0000002,2381,2025-04-24 23:47:33.782353,30.824,242.34,20.37,0.804,8.423,50.019,Single,OK
MTR0000003,262,2025-02-03 01:00:31.306205,35.663,218.86,30.63,0.825,5.113,49.752,Three,OK
MTR0000003,679,2025-06-28 00:19:23.230322,48.682,226.76,30.96,0.784,6.26,50.398,Single,OK
MTR0000003,1671,2025-07-04 11:26:49.427626,20.916,227.86,39.02,0.763,9.316,50.439,Single,OK
MTR0000003,1674,2025-04-29 11:01:26.215637,35.938,231.79,39.08,0.887,6.381,50.288,Single,OK
MTR0000004,34,2024-11-18 16:11:18.407333,38.412,228.12,30.33,0.813,5.289,49.615,Three,CHECK
MTR0000004,1372,2025-09-13 06:34:42.081733,7.882,245.6,23.24,0.931,7.267,50.059,Single,CHECK
MTR0000004,1405,2024-12-04 23:59:46.829815,12.321,240.88,29.61,0.985,5.253,49.51,Single,OK
MTR0000004,1685,2025-10-05 22:05:05.617995,9.904,217.73,24.73,0.926,7.067,50.023,Three,OK
MTR0000004,1920,2025-04-21 12:42:59.563885,6.989,214.03,36.78,0.867,1.114,49.641,Single,OK
MTR0000004,1996,2025-06-11 15:47:18.152221,23.776,219.72,26.53,0.88,3.873,49.785,Three,CHECK
MTR0000004,2428,2025-02-08 05:43:54.356176,34.339,215.95,38.33,0.873,2.87,49.966,Single,OK
MTR0000004,2879,2025-08-29 20:11:04.302738,27.755,232.98,36.15,0.867,8.49,49.606,Three,OK
MTR0000006,494,2025-07-06 05:03:37.956658,1.266,234.33,25.31,0.889,7.852,50.129,Single,OK
MTR0000006,640,2025-07-27 23:34:08.068140,44.882,221.19,24.79,0.84,1.362,50.0,Three,OK
MTR0000006,2144,2025-01-30 13:30:15.263545,13.545,217.91,25.39,0.823,8.512,49.521,Three,OK
MTR0000006,2812,2025-10-28 02:25:44.626606,26.285,224.02,28.66,0.764,1.624,50.05,Three,OK
MTR0000007,1629,2025-01-03 11:23:42.038541,17.166,237.97,31.46,0.873,0.367,49.772,Three,OK
MTR0000007,2088,2024-12-03 08:54:57.255098,5.961,218.51,34.22,0.897,8.176,50.188,Single,OK
MTR0000007,2792,2025-10-09 20:03:27.006382,46.435,242.98,29.2,0.906,4.919,49.848,Three,OK
MTR0000007,2920,2025-02-01 11:21:50.467566,26.48,232.19,38.8,0.883,2.229,49.64,Three,OK
MTR0000008,1409,2025-10-31 08:48:53.103992,16.627,236.13,24.2,0.807,9.215,50.304,Single,OK
MTR0000008,1573,2025-07-06 07:36:35.759111,44.436,247.72,34.05,0.978,2.482,50.123,Single,CHECK
MTR0000008,2000,2025-08-25 19:48:05.053775,34.488,222.9,37.6,0.822,7.295,50.215,Single,OK
MTR0000008,2886,2025-02-03 12:36:13.764433,31.558,237.5,31.62,0.872,8.976,49.566,Three,OK
MTR0000008,2963,2025-04-11 12:07:58.633098,22.536,222.17,36.53,0.919,9.273,50.114,Single,OK
MTR0000009,434,2024-11-27 17:38:12.263076,11.007,244.9,20.4,0.815,4.914,50.068,Three,OK
MTR0000009,1410,2024-12-01 15:16:18.806591,10.844,229.77,25.01,0.784,5.978,49.575,Three,OK
MTR0000010,469,2025-07-23 22:26:48.258983,2.469,225.21,21.17,0.836,1.935,49.922,Three,OK
MTR0000010,2863,2024-11-30 02:49:28.641115,39.024,244.52,20.66,0.917,7.84,50.464,Three,OK
MTR0000011,191,2024-12-25 23:59:39.670911,45.275,236.67,39.61,0.981,3.929,50.274,Three,OK
MTR0000011,337,2025-03-15 19:33:43.466256,43.541,231.65,34.32,0.787,9.562,50.165,Three,OK
MTR0000011,418,2025-10-04 09:48:04.439273,41.079,212.8,35.6,0.766,7.337,49.734,Three,OK
MTR0000012,1804,2025-05-28 08:54:45.124067,0.732,219.56,28.59,0.867,8.898,50.47,Single,OK
MTR0000012,1844,2024-12-20 01:53:02.716806,36.004,233.52,28.88,0.917,4.791,49.637,Three,OK
MTR0000012,1985,2025-01-06 14:01:14.470005,41.893,225.88,28.57,0.835,9.3,50.083,Three,OK
MTR0000013,1122,2025-02-13 21:29:49.547480,18.212,217.95,28.63,0.977,3.29,50.29,Three,OK
MTR0000013,1418,2025-01-18 21:23:00.003574,24.676,248.22,28.51,0.822,6.094,50.404,Three,OK
MTR0000013,2449,2025-07-10 12:09:50.932856,41.702,243.64,38.79,0.931,5.441,49.895,Single,OK
MTR0000014,1454,2025-06-18 19:27:27.402601,39.382,241.91,27.06,0.792,4.544,49.759,Three,OK
MTR0000014,2805,2025-01-29 01:34:24.300236,23.041,224.91,31.9,0.825,2.03,50.358,Three,OK
MTR0000015,58,2025-07-22 07:37:26.378721,40.639,222.72,34.16,0.852,3.897,49.548,Single,OK
MTR0000015,133,2025-11-07 18:28:40.904077,48.451,226.51,37.32,0.815,1.434,49.641,Three,OK
MTR0000015,1436,2025-05-06 17:58:02.837729,4.349,234.37,30.45,0.951,7.792,50.072,Single,OK
MTR0000015,1609,2025-02-07 02:13:56.023466,16.654,232.68,39.11,0.969,7.027,50.132,Three,OK
MTR0000015,1888,2025-05-06 00:22:48.933719,28.99,237.84,30.15,0.807,5.018,49.653,Three,OK
